College Name,Genders Accepted,Total811Student811Enrollments,Total Faculty,Established Year,University,City,State,College Type,Average Fees
Jayawantrao Sawant College of Engineering,Co-Ed,2363,169,2004,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,336363.6364
Jawaharlal College of Engineering and Technology,Co-Ed,1096,122,2008,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Lakkidi,Kerala,Private,332363.6364
Amrutvahini College of Engineering,Co-Ed,3469,204,1983,"Savitribai Phule Pune University, Pune",Sangamner,Maharashtra,Private,265400
Indus Institute of Technology and Engineering,Co-Ed,811,154,2006,"Indus University, Ahmedabad",Ahmedabad,Gujarat,Private,284555.5556
Ponnaiyah Ramajayam Institute of Science and Technology,Co-Ed,2247,204,1985,,Thanjavur,Tamil Nadu,Private,112492.0635
Periyar Maniammai Institute of Science and Technology,Co-Ed,3007,178,1988,,Thanjavur,Tamil Nadu,Private,192140
Hitkarini College of Engineering and Technology,Co-Ed,811,78,1997,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Chakdehi,Madhya Pradesh,Private,193685.7143
Vidyavardhini's College of Engineering and Technology,Co-Ed,1809,65,1994,"University of Mumbai, Mumbai",Vasai,Maharashtra,Private,360857.1429
SRM Valliammai Engineering College,Co-Ed,3239,257,1999,"Anna University, Chennai",Kancheepuram,Tamil Nadu,Private,239625
SVS College of Engineering,Co-Ed,1639,131,2009,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,160000
Panimalar Institute of Technology,Co-Ed,3648,167,2008,"Anna University, Chennai",Pidarithangal,Tamil Nadu,Private,160000
Karavali Institute of Technology,Co-Ed,832,193,2007,"Visvesvaraya Technological University, Belagavi",Mangaluru,Karnataka,Private,176666.6667
GH Raisoni Institute of Engineering and Technology,Co-Ed,1366,29,2007,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,326909.0909
ABR College of Engineering and Technology,Co-Ed,956,132,2008,"Jawaharlal Nehru Technological University, Kakinada",Somanapalle,Andhra Pradesh,Private,112340
NGF College of Engineering and Technology,Co-Ed,881,108,2008,"Maharshi Dayanand University, Rohtak",Palwal,Haryana,Private,145400
Sree Chaitanya College of Engineering,Co-Ed,1833,135,1997,"Jawaharlal Nehru Technological University, Hyderabad",Karimnagar,Telangana,Private,156428.5714
M Kumarasamy College of Engineering,Co-Ed,3771,334,2000,"Anna University, Chennai",Malayampalayam,Tamil Nadu,Private,143000
Vignan's Nirula Institute of Technology and Science for Women,Female,1963,141,2008,"Jawaharlal Nehru Technological University, Kakinada",Peda Palakaluru,Andhra Pradesh,Private,154571.4286
United College of Engineering and Management,Co-Ed,811,116,2008,"Dr APJ Abdul Kalam Technical University, Lucknow",Allahabad,Uttar Pradesh,Private,334000
Narayana Engineering College,Co-Ed,2237,153,1998,"Jawaharlal Nehru Technological University, Anantapur",Nellore,Andhra Pradesh,Private,176661.5385
AVN Institute of Engineering and Technology,Co-Ed,1317,152,2009,"Jawaharlal Nehru Technological University, Hyderabad",Ibrahimpatnam,Telangana,Private,370000
AM Reddy Memorial College of Engineering and Technology,Co-Ed,974,162,2007,"Jawaharlal Nehru Technological University, Kakinada",Petlurivaripalem,Andhra Pradesh,Private,106600
Alakh Prakash Goyal Shimla University,Co-Ed,2532,145,2012,,Taradevi,Himachal Pradesh,Private,279166.6667
Sri Venkateswara College of Engineering and Technology,Co-Ed,1361,116,2008,"Jawaharlal Nehru Technological University, Kakinada",Etcherla,Andhra Pradesh,Private,120454.5455
DY Patil College of Engineering and Technology,Co-Ed,2539,169,1984,"Shivaji University, Kolhapur",Kolhapur,Maharashtra,Private,316083.3333
Dr DY Patil School of Architecture,Co-Ed,597,44,2011,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,419000
Vignan's Institute of Management and Technology for Women,Female,642,82,2008,"Jawaharlal Nehru Technological University, Hyderabad",Padamatisaiguda,Telangana,Private,156000
Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology,Co-Ed,1911,72,2000,"Savitribai Phule Pune University, Pune",Baramati,Maharashtra,Private,193027.2727
Sree Narayana Gurukulam College of Engineering,Co-Ed,1880,210,2002,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Kadayirippu,Kerala,Private,257294.1176
Sidhartha Institute of Engineering and Technology,Co-Ed,1648,162,2008,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,135000
Saroj Mohan Institute of Technology,Co-Ed,127,114,2003,"Maulana Abul Kalam Azad University of Technology, Kolkata",Guptipara,West Bengal,Private,177000
Saranathan College of Engineering,Co-Ed,2777,178,1998,"Anna University, Chennai",Panjappur,Tamil Nadu,Private,154000
Meenakshi College of Engineering,Co-Ed,1707,222,2001,"Anna University, Chennai",Chennai,Tamil Nadu,Private,147000
Kanpur Institute of Technology,Co-Ed,1258,122,2004,"Dr APJ Abdul Kalam Technical University, Lucknow",Tikariya,Uttar Pradesh,Private,248250
GH Raisoni College of Engineering and Management,Co-Ed,2186,66,2006,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,323750
GITAM School of Technology,Co-Ed,811,173,2009,"GITAM University, Visakhapatnam",Rudraram,Telangana,Private,869789.4737
Sai Nath University,Co-Ed,4501,69,2012,,Ranchi,Jharkhand,Private,84000
Sipna College of Engineering and Technology,Co-Ed,2618,85,1999,"Sant Gadge Baba Amravati University, Amravati",Amravati,Maharashtra,Private,260500
Mahatma Gandhi Mission's College of Engineering and Technology,Co-Ed,2685,165,1986,"University of Mumbai, Mumbai",Navi Mumbai,Maharashtra,Private,232062.5
Ashoka Institute of Technology and Management,Co-Ed,244,105,2010,"Dr APJ Abdul Kalam Technical University, Lucknow",Varanasi,Uttar Pradesh,Private,326375
Vizag Institute of Technology,Co-Ed,1116,114,2008,"Jawaharlal Nehru Technological University, Kakinada",Bangarrajupeta,Andhra Pradesh,Private,139711.1111
Saroj Institute of Technology and Management,Co-Ed,2417,267,2001,"Dr APJ Abdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh,Private,244285.7143
Maulana Azad College of Engineering and Technology,Co-Ed,811,49,1987,"Magadh University, Bodhgaya",Patna,Bihar,Private,280000
Chadalawada Ramanamma Engineering College,Co-Ed,1971,141,2004,"Jawaharlal Nehru Technological University, Anantapur",Tirupati,Andhra Pradesh,Private,157800
Atmiya Institute of Technology and Science,Co-Ed,1724,160,2000,"Atmiya University, Rajkot",Rajkot,Gujarat,Private,232000
Adamas Institute of Technology,Co-Ed,200,27,2008,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal,Private,313000
Dr KN Modi Institute of Engineering and Technology,Co-Ed,1169,117,1995,"Dr APJ Abdul Kalam Technical University, Lucknow",Modinagar,Uttar Pradesh,Private,326100
Sridevi Women's Engineering College,Female,2177,154,2001,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,186800
